game_id,play_id,passer_player_name,epa,cpoe,desc
1000,0,Kenny Pickett,1.51,5.3,demo play
1001,1,Justin Herbert,1.828,8.05,demo play
1002,2,Kenny Pickett,-0.088,-6.27,demo play
1003,3,Tua Tagovailoa,1.74,0.58,demo play
1004,4,Justin Herbert,1.677,6.75,demo play
1005,5,Lamar Jackson,2.049,6.87,demo play
1006,6,Lamar Jackson,0.353,2.65,demo play
1007,7,Trevor Lawrence,2.05,-0.53,demo play
1008,8,Joe Burrow,0.65,-4.32,demo play
1009,9,Joe Burrow,1.441,8.29,demo play
1010,10,Josh Allen,0.952,1.24,demo play
1011,11,Jalen Hurts,-1.731,-5.5,demo play
1012,12,Kirk Cousins,-2.144,-3.03,demo play
1013,13,Aaron Rodgers,1.38,1.98,demo play
1014,14,Kenny Pickett,-1.755,-6.74,demo play
1015,15,Tua Tagovailoa,2.162,1.78,demo play
1016,16,Kenny Pickett,0.137,4.09,demo play
1017,17,Josh Allen,1.98,-7.92,demo play
1018,18,Aaron Rodgers,0.202,7.0,demo play
1019,19,Jalen Hurts,0.587,4.0,demo play
1020,20,Kenny Pickett,-0.3,11.68,demo play
1021,21,Kenny Pickett,1.535,3.08,demo play
1022,22,Lamar Jackson,1.406,-2.96,demo play
1023,23,Aaron Rodgers,0.158,11.3,demo play
1024,24,Lamar Jackson,1.702,4.35,demo play
1025,25,Patrick Mahomes,0.04,1.27,demo play
1026,26,Jalen Hurts,-0.361,1.08,demo play
1027,27,Tua Tagovailoa,2.744,-3.05,demo play
1028,28,Kenny Pickett,-2.494,0.05,demo play
1029,29,Kenny Pickett,-0.91,1.0,demo play
1030,30,Justin Herbert,1.453,-6.22,demo play
1031,31,Tua Tagovailoa,0.57,2.88,demo play
1032,32,Jalen Hurts,0.797,17.01,demo play
1033,33,Lamar Jackson,-0.513,0.34,demo play
1034,34,Josh Allen,0.906,2.42,demo play
1035,35,Kenny Pickett,-0.384,0.85,demo play
1036,36,Aaron Rodgers,-0.611,-3.18,demo play
1037,37,Trevor Lawrence,4.344,-1.79,demo play
1038,38,Patrick Mahomes,-0.251,-2.23,demo play
1039,39,Lamar Jackson,1.511,-8.55,demo play
1040,40,Jalen Hurts,0.98,3.44,demo play
1041,41,Kirk Cousins,2.92,0.16,demo play
1042,42,Trevor Lawrence,4.002,-1.49,demo play
1043,43,Lamar Jackson,3.57,-5.28,demo play
1044,44,Trevor Lawrence,2.778,-4.99,demo play
1045,45,Justin Herbert,2.666,6.95,demo play
1046,46,Lamar Jackson,4.099,-3.26,demo play
1047,47,Patrick Mahomes,-1.13,-3.37,demo play
1048,48,Josh Allen,2.724,-4.43,demo play
1049,49,Trevor Lawrence,2.059,3.7,demo play
1050,50,Tua Tagovailoa,2.48,-0.69,demo play
1051,51,Kirk Cousins,2.336,-12.64,demo play
1052,52,Lamar Jackson,1.562,-2.61,demo play
1053,53,Kirk Cousins,1.681,-0.98,demo play
1054,54,Lamar Jackson,2.376,-3.77,demo play
1055,55,Justin Herbert,3.316,-3.62,demo play
1056,56,Justin Herbert,1.221,-4.91,demo play
1057,57,Kenny Pickett,-0.758,-4.34,demo play
1058,58,Lamar Jackson,0.636,1.13,demo play
1059,59,Josh Allen,-0.34,5.67,demo play
1060,60,Justin Herbert,1.378,-0.32,demo play
1061,61,Kenny Pickett,0.418,0.68,demo play
1062,62,Patrick Mahomes,0.292,-1.48,demo play
1063,63,Justin Herbert,1.254,5.67,demo play
1064,64,Lamar Jackson,3.393,8.65,demo play
1065,65,Tua Tagovailoa,1.205,-1.72,demo play
1066,66,Kirk Cousins,1.276,-3.04,demo play
1067,67,Josh Allen,-0.107,-3.93,demo play
1068,68,Aaron Rodgers,-1.398,1.66,demo play
1069,69,Kenny Pickett,-0.986,-5.92,demo play
1070,70,Patrick Mahomes,-0.894,2.61,demo play
1071,71,Josh Allen,0.507,3.25,demo play
1072,72,Kirk Cousins,1.486,2.46,demo play
1073,73,Kirk Cousins,1.003,11.33,demo play
1074,74,Kirk Cousins,1.842,-9.2,demo play
1075,75,Josh Allen,4.837,5.95,demo play
1076,76,Patrick Mahomes,2.689,-2.21,demo play
1077,77,Justin Herbert,2.195,4.99,demo play
1078,78,Justin Herbert,3.208,-8.11,demo play
1079,79,Joe Burrow,-1.526,10.01,demo play
1080,80,Trevor Lawrence,3.884,-3.91,demo play
1081,81,Trevor Lawrence,-0.668,5.84,demo play
1082,82,Lamar Jackson,0.771,-4.91,demo play
1083,83,Justin Herbert,0.586,12.6,demo play
1084,84,Tua Tagovailoa,1.962,-1.77,demo play
1085,85,Jalen Hurts,1.488,2.33,demo play
1086,86,Lamar Jackson,2.792,-2.99,demo play
1087,87,Patrick Mahomes,0.476,-0.5,demo play
1088,88,Joe Burrow,1.409,0.78,demo play
1089,89,Justin Herbert,-0.853,6.77,demo play
1090,90,Tua Tagovailoa,2.038,6.72,demo play
1091,91,Tua Tagovailoa,3.528,3.61,demo play
1092,92,Tua Tagovailoa,-0.775,-1.67,demo play
1093,93,Justin Herbert,0.996,-3.8,demo play
1094,94,Trevor Lawrence,0.579,4.54,demo play
1095,95,Trevor Lawrence,-0.661,3.05,demo play
1096,96,Josh Allen,2.169,0.41,demo play
1097,97,Tua Tagovailoa,2.468,-0.05,demo play
1098,98,Justin Herbert,0.861,-0.1,demo play
1099,99,Jalen Hurts,1.808,-7.0,demo play
1100,100,Jalen Hurts,-0.281,5.24,demo play
1101,101,Lamar Jackson,1.025,-6.59,demo play
1102,102,Kenny Pickett,-1.752,-1.34,demo play
1103,103,Lamar Jackson,0.959,7.03,demo play
1104,104,Joe Burrow,0.771,10.46,demo play
1105,105,Lamar Jackson,2.046,3.37,demo play
1106,106,Justin Herbert,1.336,-3.3,demo play
1107,107,Kenny Pickett,0.858,-4.74,demo play
1108,108,Trevor Lawrence,3.923,-5.42,demo play
1109,109,Josh Allen,-1.0,-7.02,demo play
1110,110,Patrick Mahomes,2.06,0.19,demo play
1111,111,Kenny Pickett,0.707,-0.38,demo play
1112,112,Kirk Cousins,-0.202,-1.69,demo play
1113,113,Patrick Mahomes,2.205,7.79,demo play
1114,114,Joe Burrow,-1.184,-2.68,demo play
1115,115,Tua Tagovailoa,0.797,-1.72,demo play
1116,116,Patrick Mahomes,-0.92,10.0,demo play
1117,117,Patrick Mahomes,0.663,-2.04,demo play
1118,118,Justin Herbert,0.941,-4.05,demo play
1119,119,Lamar Jackson,2.415,-3.4,demo play
1120,120,Tua Tagovailoa,1.991,-11.4,demo play
1121,121,Justin Herbert,3.664,-10.28,demo play
1122,122,Joe Burrow,1.198,-0.76,demo play
1123,123,Jalen Hurts,0.25,-5.04,demo play
1124,124,Kenny Pickett,1.438,-6.88,demo play
1125,125,Trevor Lawrence,3.007,6.54,demo play
1126,126,Aaron Rodgers,2.148,-7.12,demo play
1127,127,Justin Herbert,2.337,10.64,demo play
1128,128,Jalen Hurts,-0.726,8.38,demo play
1129,129,Justin Herbert,1.798,7.24,demo play
1130,130,Aaron Rodgers,-0.633,8.81,demo play
1131,131,Trevor Lawrence,1.15,4.8,demo play
1132,132,Kenny Pickett,1.477,-0.73,demo play
1133,133,Patrick Mahomes,2.384,8.79,demo play
1134,134,Joe Burrow,-2.008,-6.95,demo play
1135,135,Patrick Mahomes,0.996,3.36,demo play
1136,136,Jalen Hurts,-3.185,5.6,demo play
1137,137,Josh Allen,-0.681,4.33,demo play
1138,138,Trevor Lawrence,3.235,1.47,demo play
1139,139,Lamar Jackson,2.832,-2.8,demo play
1140,140,Kenny Pickett,0.416,5.02,demo play
1141,141,Kenny Pickett,1.473,-3.34,demo play
1142,142,Kenny Pickett,1.106,-6.51,demo play
1143,143,Trevor Lawrence,0.222,-0.33,demo play
1144,144,Jalen Hurts,-0.822,2.41,demo play
1145,145,Joe Burrow,1.634,6.91,demo play
1146,146,Aaron Rodgers,-0.643,-9.69,demo play
1147,147,Tua Tagovailoa,0.889,-2.15,demo play
1148,148,Patrick Mahomes,-0.274,3.24,demo play
1149,149,Tua Tagovailoa,1.171,-2.74,demo play
1150,150,Kirk Cousins,0.222,1.23,demo play
1151,151,Kirk Cousins,1.826,-12.2,demo play
1152,152,Joe Burrow,0.469,-3.43,demo play
1153,153,Kenny Pickett,-0.728,-3.35,demo play
1154,154,Justin Herbert,1.101,-3.16,demo play
1155,155,Justin Herbert,1.722,1.23,demo play
1156,156,Kirk Cousins,-0.571,-5.5,demo play
1157,157,Kirk Cousins,-0.453,3.61,demo play
1158,158,Justin Herbert,1.267,-4.82,demo play
1159,159,Aaron Rodgers,0.566,7.3,demo play
1160,160,Patrick Mahomes,1.86,-6.2,demo play
1161,161,Josh Allen,0.65,-3.46,demo play
1162,162,Lamar Jackson,0.006,1.41,demo play
1163,163,Josh Allen,-1.577,2.43,demo play
1164,164,Kenny Pickett,-1.506,-1.24,demo play
1165,165,Jalen Hurts,2.405,-3.25,demo play
1166,166,Tua Tagovailoa,3.006,-9.68,demo play
1167,167,Aaron Rodgers,1.233,-5.51,demo play
