espnId,playerId,playerName,position,passingYards,passingTDs,rushingYards,rushingTDs,receivingYards,receivingTDs,receptions,targets,carries,week,season,epa,yards,tds
3149687,3149687,,,0.0,0,0.0,0,27.0,0,3,4,0,2,2025,0.27,27.0,0
4036378,4036378,,,292.0,2,12.0,0,0.0,0,0,0,31,2,2025,4.24,304.0,2
4361432,4361432,,,0.0,0,0.0,0,28.0,1,3,5,0,2,2025,0.88,28.0,1
4575131,4575131,,,0.0,0,17.0,0,0.0,0,0,1,0,2,2025,0.17,17.0,0
3126486,3126486,,,0.0,0,0.0,0,44.0,1,7,8,0,2,2025,1.04,44.0,1
4428850,4428850,,,0.0,0,0.0,0,44.0,0,4,6,0,2,2025,0.44,44.0,0
4690923,4690923,,,0.0,0,0.0,0,7.0,0,1,1,0,2,2025,0.07,7.0,0
15835,15835,,,0.0,0,0.0,0,64.0,1,6,8,0,2,2025,1.24,64.0,1
4572680,4572680,,,0.0,0,0.0,0,124.0,1,6,7,0,2,2025,1.8399999999999999,124.0,1
4249087,4249087,,,0.0,0,0.0,0,0.0,0,0,0,3,2,2025,0.0,0.0,0
4701936,4701936,,,0.0,0,15.0,0,0.0,0,0,2,0,2,2025,0.15,15.0,0
3121409,3121409,,,0.0,0,0.0,0,9.0,0,1,4,0,2,2025,0.09,9.0,0
4602667,4602667,,,0.0,0,0.0,0,2.0,0,1,4,0,2,2025,0.02,2.0,0
16339,16339,,,0.0,0,0.0,0,0.0,0,0,0,3,2,2025,0.0,0.0,0
4426948,4426948,,,0.0,0,0.0,0,19.0,0,1,1,0,2,2025,0.19,19.0,0
3121422,3121422,,,0.0,0,0.0,0,48.0,0,5,9,0,2,2025,0.48,48.0,0
4689334,4689334,,,0.0,0,0.0,0,37.0,0,1,1,0,2,2025,0.37,37.0,0
4426348,4426348,,,200.0,2,17.0,0,0.0,0,0,0,42,2,2025,3.37,217.0,2
3068267,3068267,,,0.0,0,17.0,0,7.0,0,2,4,0,2,2025,0.24,24.0,0
4047365,4047365,,,0.0,0,84.0,1,0.0,0,0,0,0,2,2025,1.44,84.0,1
4431487,4431487,,,0.0,0,24.0,0,0.0,0,0,0,0,2,2025,0.24,24.0,0
4428085,4428085,,,0.0,0,0.0,0,32.0,0,2,2,0,2,2025,0.32,32.0,0
4360423,4360423,,,135.0,0,-1.0,0,0.0,0,0,0,21,2,2025,1.34,134.0,0
4036133,4036133,,,0.0,0,0.0,0,12.0,0,1,3,0,2,2025,0.12,12.0,0
4037626,4037626,,,0.0,0,0.0,0,0.0,0,1,0,0,2,2025,0.0,0.0,0
4242436,4242436,,,0.0,0,0.0,0,0.0,0,1,0,0,2,2025,0.0,0.0,0
4433970,4433970,,,158.0,0,25.0,0,0.0,0,2,0,21,2,2025,1.83,183.0,0
4373626,4373626,,,0.0,0,76.0,1,4.0,0,1,1,0,2,2025,1.4,80.0,1
3728262,3728262,,,0.0,0,0.0,0,0.0,0,0,2,0,2,2025,0.0,0.0,0
3042519,3042519,,,0.0,0,23.0,0,0.0,0,0,1,0,2,2025,0.23,23.0,0
4262921,4262921,,,0.0,0,0.0,0,81.0,0,3,6,0,2,2025,0.81,81.0,0
3050916,3050916,,,0.0,0,0.0,0,0.0,0,1,0,0,2,2025,0.0,0.0,0
4430807,4430807,,,0.0,0,143.0,0,25.0,0,3,5,0,2,2025,1.68,168.0,0
4051167,4051167,,,0.0,0,0.0,0,0.0,0,0,0,5,2,2025,0.0,0.0,0
4360569,4360569,,,0.0,0,30.0,0,8.0,0,2,3,0,2,2025,0.38,38.0,0
4360248,4360248,,,0.0,0,0.0,0,37.0,0,4,5,0,2,2025,0.37,37.0,0
16460,16460,,,0.0,0,0.0,0,26.0,0,2,3,0,2,2025,0.26,26.0,0
4426502,4426502,,,0.0,0,0.0,0,49.0,0,3,4,0,2,2025,0.49,49.0,0
4382466,4382466,,,0.0,0,0.0,0,31.0,0,3,5,0,2,2025,0.31,31.0,0
4567104,4567104,,,0.0,0,0.0,0,0.0,0,0,0,2,2,2025,0.0,0.0,0
4040655,4040655,,,0.0,0,0.0,0,20.0,0,2,4,0,2,2025,0.2,20.0,0
4635008,4635008,,,0.0,0,0.0,0,26.0,0,3,3,0,2,2025,0.26,26.0,0
4362887,4362887,,,27.0,0,49.0,0,0.0,0,0,0,11,2,2025,0.76,76.0,0
3930086,3930086,,,0.0,0,0.0,0,19.0,0,2,5,0,2,2025,0.19,19.0,0
4569618,4569618,,,0.0,0,0.0,0,50.0,0,4,8,0,2,2025,0.5,50.0,0
4242433,4242433,,,0.0,0,0.0,0,47.0,0,2,3,0,2,2025,0.47000000000000003,47.0,0
4429501,4429501,,,0.0,0,24.0,0,0.0,0,0,0,0,2,2025,0.24,24.0,0
4372414,4372414,,,0.0,0,6.0,1,31.0,0,1,1,0,2,2025,0.97,37.0,1
4427366,4427366,,,0.0,0,29.0,0,9.0,0,2,3,0,2,2025,0.38,38.0,0
4429105,4429105,,,0.0,0,-10.0,0,8.0,0,1,2,0,2,2025,-0.02,-2.0,0
4240585,4240585,,,0.0,0,0.0,0,0.0,0,1,0,0,2,2025,0.0,0.0,0
4241476,4241476,,,0.0,0,0.0,0,0.0,0,0,2,0,2,2025,0.0,0.0,0
3039707,3039707,,,32.0,0,-3.0,0,0.0,0,0,0,2,2,2025,0.29,29.0,0
