Defense.defTD,Defense.defensiveInterceptions,Defense.defensiveInterceptionsYards,Defense.forcedFumbles,Defense.fumbles,Defense.fumblesLost,Defense.fumblesRecovered,Defense.interceptionTDs,Defense.passDeflections,Defense.qbHits,Defense.sacks,Defense.soloTackles,Defense.tfl,Defense.totalTackles,Kicking.kickReturnAvg,Kicking.kickReturnLong,Kicking.kickReturnTD,Kicking.kickReturnYds,Kicking.kickReturns,Passing.int,Passing.passAttempts,Passing.passAvg,Passing.passCompletions,Passing.passTD,Passing.passYds,Passing.qbr,Passing.rtg,Passing.sacked,Punting.puntReturnAvg,Punting.puntReturnLong,Punting.puntReturnTD,Punting.puntReturnYds,Punting.puntReturns,Receiving.longRec,Receiving.recAvg,Receiving.recTD,Receiving.recYds,Receiving.receivingTwoPointConversion,Receiving.receptions,Receiving.targets,Rushing.carries,Rushing.longRush,Rushing.rushAvg,Rushing.rushTD,Rushing.rushYds,SpecialTeams.kickReturnAvg,SpecialTeams.kickReturnLong,SpecialTeams.kickReturnTD,SpecialTeams.kickReturnYds,SpecialTeams.kickReturns,SpecialTeams.puntReturnAvg,SpecialTeams.puntReturnLong,SpecialTeams.puntReturnTD,SpecialTeams.puntReturnYds,SpecialTeams.puntReturns,cbsLongName,fantasyPoints,fantasyPointsDefault.PPR,fantasyPointsDefault.halfPPR,fantasyPointsDefault.standard,gameID,gameWeek,longName,playerAbv,playerID,playerName,scoringPlays,snapCounts.defSnap,snapCounts.defSnapPct,snapCounts.offSnap,snapCounts.offSnapPct,snapCounts.stSnap,snapCounts.stSnapPct,team,teamAbv,teamID
,,,,,,,,,,,,,,19.5,21,0,39,2,,,,,,,,,,7.0,7,0,14,2,14,6.0,1,18,,3,5,,,,,,,,,,,,,,,,,,10.8,9.3,7.8,20240823_MIA@TB,,Kyric McGowan,,4242270,,"[{""score"": ""Kyric McGowan 1 Yd pass from Skylar Thompson (Jason Sanders Kick)"", ""scorePeriod"": ""Q3"", ""homeScore"": ""17"", ""awayScore"": ""14"", ""teamID"": ""20"", ""scoreDetails"": ""11 plays, 76 yards, 7:47"", ""scoreType"": ""TD"", ""scoreTime"": ""1:08"", ""team"": ""MIA"", ""playerIDs"": [""4036419"", ""4242270"", ""3124679""]}]",,,,,,,MIA,MIA,20
0,0,,0,,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251130_MIN@SEA,,Tai Felton,,4565185,,,0,0.00,0,0.00,17,0.74,MIN,MIN,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,18.0,0,18,,1,1,,,,,,,,,,,,,,,,,,2.8,2.3,1.8,20240811_DEN@IND,,Ethan Fernea,,4062711,,,,,,,,,IND,IND,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20250808_CLE@CAR,,Kisean Johnson,,4693881,,,,,,,,,CLE,CLE,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20240113_CLE@HOU,,Marquise Goodwin,,15839,,,0,0.00,14,0.20,0,0.00,CLE,CLE,8
,,,,,,,,,,,,,,36.0,36,0,36,1,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,4,10,5.3,0,21,,,,,,,,,,,,,2.1,2.1,2.1,20240822_CHI@KC,,Louis Rees-Zammit,,5208436,,,,,,,,,KC,KC,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,11.5,0,23,,2,4,,,,,,,,,,,,,,,,,,4.3,3.3,2.3,20251130_MIN@SEA,,Jaxon Smith-Njigba,,4430878,,,0,0.00,55,0.82,0,0.00,SEA,SEA,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,9.0,0,18,,2,4,,,,,,,,,,,,,,,,,,3.8,2.8,1.8,20251116_GB@NYG,,Jalin Hyatt,,4692590,,,0,0.00,44,0.61,0,0.00,NYG,NYG,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.0,1,3,,1,3,,,,,,,,,,,,,,,,,,7.3,6.8,6.3,20250823_HOU@DET,,Daniel Jackson,,4430875,,"[{""score"": ""Daniel Jackson 3 Yd pass from Kedon Slovis (Ka'imi Fairbairn Kick)"", ""scorePeriod"": ""Q4"", ""homeScore"": ""7"", ""awayScore"": ""23"", ""teamID"": ""13"", ""scoreDetails"": ""4 plays, 28 yards, 1:44"", ""scoreType"": ""TD"", ""scoreTime"": ""12:58"", ""team"": ""HOU"", ""playerIDs"": [""4428512"", ""4430875"", ""2971573""]}]",,,,,,,HOU,HOU,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20231029_KC@DEN,,Tre'Quan Smith,,3128451,,,0,0.00,10,0.14,0,0.00,DEN,DEN,10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20240824_MIN@PHI,,Austin Watkins Jr.,,4363409,,,,,,,,,PHI,PHI,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20250823_SEA@GB,,Tyrone Broden,,4429313,,,,,,,,,SEA,SEA,29
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,12,0,24,3,12,12.0,0,12,,1,3,,,,,,,,,,,8.0,12,0,24,3,,,2.2,1.7,1.2,20220827_JAX@ATL,,Willie Johnson,W. Johnson,4043606,Willie Johnson,,,,,,,,JAX,JAX,15
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3.0,0,3,,1,2,,,,,,,,,,,,,,,,,,1.3,0.8,0.3,20250915_TB@HOU,,Justin Watson,,3118892,,,0,0.00,20,0.41,8,0.32,HOU,HOU,13
0,0,,,,,,,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20230115_MIA@BUF,,John Brown,,16804,,,0,0.00,21,0.28,0,0.00,BUF,BUF,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,22.0,0,22,,1,2,,,,,,,,,,,,,,,,,,3.2,2.7,2.2,20230826_LV@DAL,,Cam Sims,,3115314,,,,,,,,,LV,LV,17
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15.0,0,15,,1,1,,,,,,,,,,,,,,,,,,2.5,2.0,1.5,20250823_BAL@WSH,,Dayton Wade,,4428763,,,,,,,,,BAL,BAL,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,6,0,10,2,3,3.0,1,3,,1,2,,,,,,,,,,,,,,,,,,7.3,6.8,6.3,20250823_SEA@GB,,Will Sheppard,,4608679,,"[{""score"": ""Will Sheppard 3 Yd pass from Taylor Elgersma (Brandon McManus Kick)"", ""scorePeriod"": ""Q2"", ""homeScore"": ""17"", ""awayScore"": ""0"", ""teamID"": ""12"", ""scoreDetails"": ""8 plays, 47 yards, 4:46"", ""scoreType"": ""TD"", ""scoreTime"": ""9:00"", ""team"": ""GB"", ""playerIDs"": [""5278103"", ""4608679"", ""16339""]}]",,,,,,,GB,GB,12
,,,,,,,,,,,,,,32.0,32,0,32,1,,,,,,,,,,15.0,15,0,15,1,16,15.0,0,30,,2,2,1,7,7.0,0,7,,,,,,,,,,,,,5.7,4.7,3.7,20250105_SF@ARI,,Jacob Cowing,,4575665,,,0,0.00,50,0.66,12,0.36,SF,SF,28
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,25.0,1,50,,2,2,,,,,,,,,,,,,,,,,,13.0,12.0,11.0,20240817_LAR@LAC,,JJ Laap,,5192438,,"[{""score"": ""JJ Laap 47 Yd pass from Stetson Bennett (Joshua Karty Kick)"", ""scorePeriod"": ""Q4"", ""homeScore"": ""9"", ""awayScore"": ""13"", ""teamID"": ""19"", ""scoreDetails"": ""3 plays, 70 yards, 0:59"", ""scoreType"": ""TD"", ""scoreTime"": ""9:48"", ""team"": ""LAR"", ""playerIDs"": [""4259553"", ""5192438"", ""4566192""]}]",,,,,,,LAR,LAR,19
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,14.0,1,28,,2,2,,,,,,,,,,,,,,,,,,10.8,9.8,8.8,20240824_LAR@HOU,,Johnny Johnson III,,4242504,,"[{""score"": ""Johnny Johnson III 10 Yd pass from Tim Boyle (Ka'imi Fairbairn Kick)"", ""scorePeriod"": ""Q4"", ""homeScore"": ""17"", ""awayScore"": ""9"", ""teamID"": ""13"", ""scoreDetails"": ""12 plays, 91 yards, 6:47"", ""scoreType"": ""TD"", ""scoreTime"": ""14:13"", ""team"": ""HOU"", ""playerIDs"": [""3045169"", ""4242504"", ""2971573""]}]",,,,,,,HOU,HOU,13
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20250823_JAX@MIA,,Trenton Irwin,,3931391,,,,,,,,,JAX,JAX,15
,,,,,,,,,,,,,,,,,,,0,5,13.8,4,0,69,,118.8,0-0,,,,,,,,,,,,,2,5,2.0,0,4,,,,,,,,,,,,,3.16,3.16,3.16,20230826_SEA@GB,,Alex McGough,,3128843,,,,,,,,,GB,GB,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,2,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20220828_DET@PIT,,Tyler Snead,T. Snead,4382578,Tyler Snead,,,,,,,,PIT,PIT,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20230826_BAL@TB,,Kade Warner,,4240819,,,,,,,,,TB,TB,30
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251123_NYG@DET,,Dominic Lovett,,4596439,,,0,0.00,0,0.00,2,0.06,DET,DET,11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10.0,0,20,,2,2,,,,,,,,,,,,,,,,,,4.0,3.0,2.0,20250823_LAC@SF,,Jaylen Johnson,,4379405,,,,,,,,,LAC,LAC,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,7,0,7,1,2,2.0,0,2,,1,1,1,6,6.0,0,6,,,,,,,,,,,,,1.8,1.3,0.8,20250821_NE@NYG,,Ihmir Smith-Marsette,,4240573,,,,,,,,,NYG,NYG,24
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9.0,0,9,,1,1,,,,,,,,,,,,,,,,,,1.9,1.4,0.9,20240822_IND@CIN,,Greg Ward,,3040035,,,,,,,,,IND,IND,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251109_ARI@SEA,,Ricky White III,,4431479,,,0,0.00,6,0.10,4,0.15,SEA,SEA,29
0,0,,0,,,,,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,7,6.0,0,12,,2,3,,,,,,,,,,,,,,,,,,3.2,2.2,1.2,20250823_LV@ARI,,Tejhaun Palmer,,4875912,,,,,,,,,ARI,ARI,1
0,0,,0,,,,,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,3,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251109_CLE@NYJ,,Garrett Wilson,,4569618,,,0,0.00,19,0.39,0,0.00,NYJ,NYJ,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13.0,0,13,,1,3,,,,,,,,,,,,,,,,,,2.3,1.8,1.3,20250822_MIN@TEN,,Robert Lewis,,4686271,,,,,,,,,MIN,MIN,21
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,7.7,0,23,,3,4,,,,,,,,,,,,,,,,,,5.3,3.8,2.3,20251201_NYG@NE,,Mack Hollins,,2991662,,,0,0.00,49,0.75,0,0.00,NE,NE,22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20250823_IND@CIN,,Ajou Ajou,,4429207,,,,,,,,,IND,IND,14
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,13.2,2,132,,10,12,,,,,,,,,,,,,,,,,,35.2,30.2,25.2,20251128_CHI@PHI,,A.J. Brown,,4047646,,"[{""score"": ""A.J. Brown 33 Yd pass from Jalen Hurts (Jake Elliott PAT Failed)"", ""scorePeriod"": ""Q3"", ""homeScore"": ""9"", ""awayScore"": ""10"", ""teamID"": ""27"", ""scoreDetails"": ""5 plays, 92 yards, 1:54"", ""scoreType"": ""TD"", ""scoreTime"": ""8:05"", ""team"": ""PHI"", ""playerIDs"": [""4040715"", ""4047646"", ""3050478""]}, {""score"": ""A.J. Brown 4 Yd pass from Jalen Hurts (Two-Point Pass Conversion Failed)"", ""scorePeriod"": ""Q4"", ""homeScore"": ""15"", ""awayScore"": ""24"", ""teamID"": ""27"", ""scoreDetails"": ""12 plays, 80 yards, 3:09"", ""scoreType"": ""TD"", ""scoreTime"": ""3:10"", ""team"": ""PHI"", ""playerIDs"": [""4040715"", ""4047646""]}]",0,0.00,52,0.96,0,0.00,PHI,PHI,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20220822_ATL@NYJ,,Geronimo Allison,G. Allison,3115913,Geronimo Allison,,,,,,,,ATL,ATL,2
,,,,,,,,,,,,,,23.3,33,0,93,4,,,,,,,,,,8.5,10,0,17,2,3,3.0,0,6,,2,2,2,6,3.5,0,7,,,,,,,,,,,,,3.3,2.3,1.3,20230108_ARI@SF,,Pharoh Cooper,,3048897,,,0,0.00,17,0.33,12,0.46,ARI,ARI,1
0,0,,0,,,,,0,0,0,0,0,1,21.0,23,0,63,3,,,,,,,,,,,,,,,13,9.7,0,29,,3,3,,,,,,,,,,,,,,,,,,5.9,4.4,2.9,20230824_PIT@ATL,,Mathew Sexton,,4039339,,,,,,,,,ATL,ATL,2
,0,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,28,11.5,2,92,,8,12,1,2,2.0,0,2,,,,,,,,,,,,,29.4,25.4,21.4,20251127_KC@DAL,,Rashee Rice,,4428331,,"[{""score"": ""Rashee Rice 27 Yd pass from Patrick Mahomes (Harrison Butker Kick)"", ""scorePeriod"": ""Q1"", ""homeScore"": ""0"", ""awayScore"": ""7"", ""teamID"": ""16"", ""scoreDetails"": ""2 plays, 37 yards, 0:36"", ""scoreType"": ""TD"", ""scoreTime"": ""13:04"", ""team"": ""KC"", ""playerIDs"": [""3139477"", ""4428331"", ""3055899""]}, {""score"": ""Rashee Rice 3 Yd pass from Patrick Mahomes (Harrison Butker Kick)"", ""scorePeriod"": ""Q4"", ""homeScore"": ""20"", ""awayScore"": ""21"", ""teamID"": ""16"", ""scoreDetails"": ""11 plays, 80 yards, 4:18"", ""scoreType"": ""TD"", ""scoreTime"": ""14:51"", ""team"": ""KC"", ""playerIDs"": [""3139477"", ""4428331"", ""3055899""]}]",0,0.00,59,0.89,0,0.00,KC,KC,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,15.3,0,61,,4,6,2,17,6.5,0,13,,,,,,,,,,,,,11.4,9.4,7.4,20251127_KC@DAL,,Xavier Worthy,,4683062,,,0,0.00,58,0.88,0,0.00,KC,KC,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14.0,0,14,,1,2,,,,,,,,,,,,,,,,,,2.4,1.9,1.4,20230824_IND@PHI,,Jadon Haselwood,,4426370,,,,,,,,,PHI,PHI,27
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4.0,0,4,,1,1,,,,,,,,,,,,,,,,,,1.4,0.9,0.4,20250822_CHI@KC,,Mac Dalena,,4431053,,,,,,,,,KC,KC,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,9.8,1,39,,4,6,,,,,,,,,,,,,,,,,,13.9,11.9,9.9,20251130_LV@LAC,,Ladd McConkey,,4612826,,"[{""score"": ""Ladd McConkey 7 Yd pass from Justin Herbert (Cameron Dicker Kick)"", ""scorePeriod"": ""Q3"", ""homeScore"": ""21"", ""awayScore"": ""7"", ""teamID"": ""18"", ""scoreDetails"": ""8 plays, 60 yards, 5:02"", ""scoreType"": ""TD"", ""scoreTime"": ""2:23"", ""team"": ""LAC"", ""playerIDs"": [""4038941"", ""4612826"", ""4362081""]}]",0,0.00,51,0.76,0,0.00,LAC,LAC,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.0,0,0,,0,1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251109_CLE@NYJ,,Jamari Thrash,,4428678,,,0,0.00,22,0.30,0,0.00,CLE,CLE,8
0,0,,0,,,,,0,0,0,1,0,1,23.0,26,0,46,2,,,,,,,,,,11.5,15,0,23,2,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20251130_ARI@TB,,Kameron Johnson,,5097554,,,0,0.00,6,0.10,10,0.43,TB,TB,30
,,,,,,,,,,,,,,23.5,26,0,47,2,,,,,,,,,,4.0,4,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,20241013_WSH@BAL,,Deonte Harty,,4411193,,,0,0.00,0,0.00,8,0.28,BAL,BAL,3
0,0,,0,,,,,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,5,4.0,0,12,,3,3,,,,,,,,,,,,,,,,,,4.2,2.7,1.2,20250823_SEA@GB,,Julian Hicks,,4244768,,,,,,,,,GB,GB,12
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6.0,0,6,,1,1,,,,,,,,,,,,,,,,,,1.6,1.1,0.6,20250823_BAL@WSH,,Jahmal Banks,,4571935,,,,,,,,,BAL,BAL,3
