player,timestamp,price,week,stock,confidence,weekly_change,weekly_change_pct,rawChange,multiplier,cappedChange,newPrice,espnId,z_pass_yards,z_pass_tds,z_ints,z_rush_yards,z_rush_tds,z_fumbles,z_epa_per_play,z_cpoe,z_pass_attempts,z_Defense.defTD,z_Defense.defensiveInterceptions,z_Defense.defensiveInterceptionsYards,z_Defense.forcedFumbles,z_Defense.fumbles,z_Defense.fumblesLost,z_Defense.fumblesRecovered,z_Defense.interceptionTDs,z_Defense.passDeflections,z_Defense.qbHits,z_Defense.sacks,z_Defense.soloTackles,z_Defense.tfl,z_Defense.totalTackles,z_Kicking.kickReturnAvg,z_Kicking.kickReturnLong,z_Kicking.kickReturnTD,z_Kicking.kickReturnYds,z_Kicking.kickReturns,z_Punting.puntReturnAvg,z_Punting.puntReturnLong,z_Punting.puntReturnTD,z_Punting.puntReturnYds,z_Punting.puntReturns,z_Receiving.longRec,z_Receiving.recAvg,z_Receiving.recTD,z_Receiving.recYds,z_Receiving.receivingTwoPointConversion,z_Receiving.receptions,z_Receiving.targets,z_Rushing.carries,z_Rushing.longRush,z_Rushing.rushAvg,z_Rushing.rushTD,z_Rushing.rushYds,z_SpecialTeams.kickReturnAvg,z_SpecialTeams.kickReturnLong,z_SpecialTeams.kickReturnTD,z_SpecialTeams.kickReturnYds,z_SpecialTeams.kickReturns,z_SpecialTeams.puntReturnAvg,z_SpecialTeams.puntReturnLong,z_SpecialTeams.puntReturnTD,z_SpecialTeams.puntReturnYds,z_SpecialTeams.puntReturns,z_fantasyPointsDefault.PPR,z_fantasyPointsDefault.halfPPR,z_fantasyPointsDefault.standard,z_espnId,z_snapCounts.defSnap,z_snapCounts.defSnapPct,z_snapCounts.offSnap,z_snapCounts.offSnapPct,z_snapCounts.stSnap,z_snapCounts.stSnapPct,z_teamID,z_week,z_plays,z_B,z_M,z_C,z_stock
A.J. Brown,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,4047646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,1.8677485347793341,0.611013057595184,5.481845885840933,4.954547873021083,0.0,5.078791923374636,4.061305693806265,,,,,,0.0,,0.0,,,,,0.0,,,6.0,6.0,5.983416652990425,0.06168858304410238,-0.0759770234559907,-0.07454602545661768,1.0152744858936962,1.628700646171534,-0.5597736908065438,-0.5623367955278484,1.1623567166174746,0.0,4.671101541939929,0.0,0.0,0.0,0.0
A.J. Green,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,13983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,5.704052682480635,2.807463868916459,2.5766240414894583,3.159703174794838,0.0,0.8092339869283864,0.9386413474937767,,,,,,0.0,,0.0,,,,,0.0,,,2.6899495499041706,2.9678264038306397,3.3092631622473676,-3.9223119827034876,-0.0759770234559907,-0.07454602545661768,-0.007613199144355347,0.4302851031439663,-0.5597736908065438,-0.5623367955278484,-1.616783116642269,0.0,0.9178558104564083,0.0,0.0,0.0,0.0
A.T. Perry,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,4362019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,-1.0094795759966413,-1.0844928318458,-0.32859780286201595,-0.8239765212682905,0.0,-1.0205765572628636,-0.8457382789705019,,,,,,0.0,,0.0,,,,,0.0,,,-0.831666954519899,-0.7751818614291179,-0.6887286902496784,0.37219102458564096,,,,,,,-0.65477317436005,0.0,-0.9587670552853516,0.0,0.0,0.0,0.0
Aaron Fuller,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,4039000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,-0.5735359228487663,-0.4422557525120939,-0.32859780286201595,-0.6050930214846021,0.0,-0.4106397091991135,0.04645153426163741,,,,,,0.0,,0.0,,,,,0.0,,,-0.5398202828825452,-0.5496994358110602,-0.5563448540742795,0.05314903254336554,,,,,,,1.3761367037913013,0.0,-0.15450011282459736,0.0,0.0,0.0,0.0
Aaron Parker,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,4032749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,0.8214837672244338,1.6129029013557656,-0.32859780286201595,0.09533417782320074,0.0,-0.4106397091991135,-0.8457382789705019,,,,,,0.0,,0.0,,,,,0.0,,,-0.22851716646936782,-0.18892755482216791,-0.13271657831300307,0.04697499481723716,,,,,,,-0.013433212838570713,0.0,-0.6906780744651002,0.0,0.0,0.0,0.0
Adam Humphries,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,2576491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,-1.2513520370232916,-1.1039106013165785,0.0,-0.9154051763167588,-0.7227845730288471,-0.05040353907131624,0.07153391095487097,-0.32859780286201595,-0.03599592204701229,0.0,0.19929713886463649,0.9386413474937767,,,,,,0.0,,0.0,,,,,0.0,,,-0.09232205303860273,-0.14383106969855644,-0.21214688001824242,-1.3913535655693032,,,,,,,-0.3341031935993104,0.0,0.649766829636157,0.0,0.0,0.0,0.0
Adam Thielen,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,16460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,-1.0094795759966413,-1.0844928318458,-0.32859780286201595,-0.8239765212682905,0.0,-1.0205765572628636,-0.8457382789705019,,,,,,0.0,,0.0,,,,,0.0,,,-0.831666954519899,-0.7751818614291179,-0.6887286902496784,-3.919865479512379,-0.0759770234559907,-0.07454602545661768,-1.6226990176254892,-1.6033897577513008,-0.5597736908065438,-0.5623367955278484,0.5210167550959954,0.0,-0.9587670552853516,0.0,0.0,0.0,0.0
Adonai Mitchell,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,4597500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,3.52433441674126,0.5596340912484877,2.5766240414894583,3.6412468743189526,0.0,3.8589182272471367,4.061305693806265,,,,,,0.0,,0.0,,,,,0.0,,,3.876792681229409,3.7795631360556468,3.6005076018332454,0.6047727839499726,-0.0759770234559907,-0.07454602545661768,1.2844554556405519,1.265544421011665,-0.5597736908065438,-0.5623367955278484,0.9485767294436483,0.0,4.134923580299426,0.0,0.0,0.0,0.0
Ahmarean Brown,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,4426800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,,,,,0.0,,,-1.0094795759966413,-1.0844928318458,-0.32859780286201595,-0.8239765212682905,0.0,-1.0205765572628636,-0.8457382789705019,,,,,,0.0,,0.0,,,,,0.0,,,-0.831666954519899,-0.7751818614291179,-0.6887286902496784,0.43617444130877686,,,,,,,-0.8685531615338765,0.0,-0.9587670552853516,0.0,0.0,0.0,0.0
Ainias Smith,2025-09-05,100.0,1,100.0,0.0,0.0,0.0,,,,,4428532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,-0.7679065080049334,-0.9472683973929863,0.0,-1.0717952773807207,-0.7798709148036563,-0.6879533446899454,-0.3436366871840317,0.0,-0.4666359337366715,0.23569062163984153,-0.5735359228487663,-0.4422557525120939,-0.32859780286201595,-0.3862095217009137,0.0,0.19929713886463649,0.9386413474937767,,,,,,0.0,,0.0,,,,,0.0,,,-0.2479736112451914,-0.32421701019300253,-0.42396101789888063,0.4378851169353413,,,,,,,1.1623567166174746,0.0,0.649766829636157,0.0,0.0,0.0,0.0
