player,espnId,position,position_inferred,team,avg_epa,avg_cpoe,plays,pass_attempts,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,receiving_yards,receiving_tds,position_profile,position_overwritten_from_profile
A.J. Brown,4047646,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
A.J. Green,13983,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
A.T. Perry,4362019,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Aaron Fuller,4039000,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Aaron Parker,4032749,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Adam Humphries,2576491,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Adam Thielen,16460,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Adonai Mitchell,4597500,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Ahmarean Brown,4426800,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Ainias Smith,4428532,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Ajou Ajou,4429207,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Albert Wilson,17051,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Alec Pierce,4360078,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Allen Lazard,3128390,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Allen Robinson,16799,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Amari Cooper,2976499,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Amari Rodgers,4239992,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Amon-Ra St. Brown,4374302,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Andrei Iosivas,4368003,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Andrew Armstrong,5093923,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Anthony Miller,3050487,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Anthony Schwartz,4371986,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Antoine Green,4373266,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Aron Cruickshank,4361556,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Ashton Dulin,4061956,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Auden Tate,3921564,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Austin Mack,4040623,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Austin Trammell,4244856,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Austin Watkins Jr.,4363409,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Avery Davis,4258586,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Ayir Asante,4571801,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Bailey Gaither,3921681,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Ben Skowronek,4035656,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Bisi Johnson,3917067,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Blake Proehl,4239406,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Blayne Taylor,5083552,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brandin Cooks,16731,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brandon Aiyuk,4360438,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brandon Johnson,4035198,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brandon Lewis,4401043,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Braxton Burmeister,4242490,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Braylon Sanders,4259908,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brenden Rice,4686781,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Breshad Perriman,2972460,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brevin Easton,5083515,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brian Cobbs,4372041,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Brian Thomas Jr.,4432773,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Bryan Edwards,4038818,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Bryan Thompson,4243261,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
Bryson Green,4432705,UNK,UNK,,,0.0,1,0,0,0,0,0,0,0,0,0,,False
